timestamp,open,high,low,close,volume
2020-04-02,6430.6064,6671.0098,6202.3735,6596.6719,114795932517
2020-03-29,6436.6426,6892.5112,5903.2344,6429.8418,263077982922
2020-03-22,5002.5781,6844.2617,4981.9092,6416.3149,311031123468
2020-03-15,7922.1470,8136.9453,4106.9810,5014.4800,324554254988
2020-03-08,8865.3877,9167.6953,7690.0981,7923.6445,280785390732
2020-03-01,9651.3125,9652.7373,8471.2129,8869.6699,297010187279
2020-02-23,9691.2305,10191.6758,9507.9004,9650.1748,302222558973
2020-02-16,9855.8916,10457.6270,9507.6377,9690.1426,307024832299
2020-02-09,9292.8418,10165.7656,9112.8115,9856.6113,247633262962
2020-02-02,8912.5244,9553.1260,8908.4473,9293.5215,214585115036
2020-01-26,8658.9912,8977.7266,8266.8408,8909.8193,167338565101
2020-01-19,8140.9331,9164.3623,8140.9331,8657.6426,245608208781
2020-01-12,7768.6821,8396.7383,7726.7749,8144.1943,184107939051
2020-01-05,7294.4390,7781.8672,6914.9961,7769.2192,150092782570
2019-12-29,7354.3931,7535.7168,7189.9341,7292.9951,156800560680
2019-12-22,6931.3154,7656.1763,6540.0493,7355.6284,173017624755
2019-12-15,7397.1343,7424.0229,6903.6826,6932.4805,124883764529
2019-12-08,7323.9756,7743.4316,7170.9229,7400.8994,122117728146
2019-12-01,7145.1592,7836.1021,6974.1743,7321.9883,136841674482
2019-11-24,8305.1348,8408.5166,6617.1670,7146.1338,192732146373
2019-11-17,8759.7520,8853.7686,8273.5732,8309.2861,135480620333
2019-11-10,9413.0049,9457.4180,8700.6084,8757.7881,154797987736
2019-11-03,9248.4404,9516.1807,9028.7178,9412.6123,175586809357
2019-10-27,8243.4023,10021.7441,7446.9888,9256.1484,191757671588
2019-10-20,8373.4580,8410.7148,7902.1641,8243.7207,106427528427
2019-10-13,8246.8496,8721.7803,8169.2988,8374.6865,115692563658
2019-10-06,8299.7207,8497.6924,7905.7661,8245.6230,98610405601
2019-09-29,9729.3213,9804.3174,7830.7588,8293.8682,126706017511
2019-09-22,10281.5137,10296.7715,9727.1436,9729.3242,107915597041
2019-09-15,10336.4082,10442.2539,9980.7764,10276.7939,100440616133
2019-09-08,10345.7256,10898.7617,10144.9297,10334.9746,116789274380
2019-09-01,10372.8262,10396.5918,9421.6299,10346.7607,103155806882
2019-08-25,10916.3467,10947.0420,9831.4629,10370.8203,115294241022
2019-08-18,11385.0527,11420.0498,9675.3164,10916.0537,122615778170
2019-08-11,11811.5449,12273.8213,11248.2949,11382.6162,131198603181
2019-08-04,9522.3291,11895.0918,9437.3359,11805.6533,120875332395
2019-07-28,10346.7480,10346.7480,9252.2969,9519.1455,109916259839
2019-07-21,10896.6533,11048.6621,9163.1348,10343.1064,148307182108
2019-07-14,12284.3262,13129.5293,9992.0068,10895.0898,182838179842
2019-07-07,10588.6836,12345.8330,9737.8848,12285.9580,175514783798
2019-06-30,11007.2021,13796.4893,10089.3145,10583.1348,231609674638
2019-06-23,9335.4668,11246.1445,9004.9014,11011.1025,140131036632
2019-06-16,8004.2437,9416.4072,7772.8037,9320.3525,131924818320
2019-06-09,8210.9854,8210.9854,7564.4888,8000.3296,136809413791
2019-06-02,8802.7578,9008.3145,8172.5508,8208.9951,167071149741
2019-05-26,7977.9692,8907.1748,7533.1968,8805.7783,177107575800
2019-05-19,7807.8843,8320.8242,7038.1245,7978.3091,194709520570
2019-05-12,5745.5991,8047.4131,5741.3960,7814.9150,154870103297
2019-05-05,5247.7261,5886.8936,5224.1899,5746.8071,109037517012
2019-04-28,5399.3657,5642.0444,5177.3687,5247.3525,104724490355
2019-04-21,5066.5776,5422.6875,5055.1948,5399.3652,92596992837
2019-04-14,5289.9180,5421.6514,4955.8525,5067.1084,93962914781
2019-04-07,4156.9194,5318.8364,4155.3169,5289.7710,130043399991
2019-03-31,3969.2288,4296.8066,3944.7532,4158.1831,70812996875
2019-03-24,4032.6919,4097.3599,3934.0313,3963.0706,68688505469
2019-03-17,3903.7583,4077.0364,3863.5591,4032.5073,66878818651
2019-03-10,3759.8325,3987.2378,3745.1831,3905.2273,70207495430
2019-03-03,3878.6973,3907.7954,3733.7498,3761.5571,56155064467
