timestamp,open,high,low,close,volume
2020-03-31,8563.2646,9167.6953,4106.9810,6419.2988,1218611511377
2020-02-29,9389.8203,10457.6270,8471.2129,8562.4541,1172803000559
2020-01-31,7202.5513,9553.1260,6914.9961,9392.8750,860229165977
2019-12-31,7424.0361,7743.4316,6540.0493,7200.1743,633635329923
2019-11-30,9259.7832,9505.0518,6617.1670,7424.2925,671315541085
2019-10-31,8344.2129,10021.7441,7446.9888,9261.1045,604224482353
2019-09-30,9757.4736,10898.7617,7830.7588,8343.2764,484404950770
2019-08-31,10402.0430,12273.8213,9421.6299,9757.9707,528264989721
2019-07-31,10588.6836,13129.5293,9163.1348,10399.6689,664203075223
2019-06-30,8565.4736,13796.4893,7564.4888,10583.1348,682745670839
2019-05-31,5402.4229,9008.3145,5394.2173,8564.0166,732966646153
2019-04-30,4156.9194,5642.0444,4155.3169,5402.6973,448886290773
2019-03-31,3855.3181,4296.8066,3733.7498,4158.1831,300449336439
2019-02-28,3484.6260,4210.6416,3391.0237,3859.5837,201338996848
2019-01-31,3849.2163,4109.0210,3400.8198,3487.9453,168434432560
